Country	Lat	Long_	Country/State	Lat_state_country	Long_state_country	Population
US	35.61051723	-79.43519869	North Carolina	35.5	-80	10488084
US	47.47394369	-100.5997227	North Dakota	47.5	-100	762062
US	15.0979	145.6739	Northern Mariana Islands	15.0979	145.6739	55194
US	40.38243745	-82.8541977	Ohio	40.25	-83	11689100
US	34.80885983	-94.74207422	Oklahoma	35.5	-97.5	3956971
US	44.66320864	-121.7490503	Oregon	44	-120.5	4217737
US	40.77692249	-77.58462345	Pennsylvania	40.86	-77.9	12801989
US	18.2208	-66.5901	Puerto Rico	41.4966	-71.4757	3193694
US	34.71261842	-59.55342092	Rhode Island	41.4966	-71.4757	1059361
US	33.98400742	-80.92424976	South Carolina	34	-81	5148714
US	44.08518392	-98.71955005	South Dakota	44.5	-100.25	884659
US	34.99795255	-83.96382623	Tennessee	35.75	-86.25	6833174
US	31.27486737	-97.65551408	Texas	31.25	-99.25	28995881
US	37.35388294	-104.6764627	Utah	39.25	-111.75	3205958
US	40.66984574	-67.11913335	Vermont	44.1584	-72.7678	623989
US	37.20786388	-77.35055334	Virginia	37.77	-78.24	8535519
US	45.94624077	-117.3964021	Washington	47.5	-120.5	7614893
US	39.00884453	-80.53819572	West Virginia	38.63	-80.73	1792065
US	43.28056848	-87.78938841	Wisconsin	44.5	-90	5822434
US	43.03907976	-107.220184	Wyoming	43	-107.5	578759
Uzbekistan	41.377491	64.585262	N/A	41.377491	64.585262	33469199
Venezuela	6.4238	-66.5897	N/A	6.4238	-66.5897	28435943
Vietnam	14.058324	108.277199	N/A	14.058324	108.277199	97338583
Zambia	-13.133897	27.849332	N/A	-13.133897	27.849332	18383956
Zimbabwe	-19.015438	29.154857	N/A	-19.015438	29.154857	14862927
